CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
ARCOS;1900;250;385000;1540.0;0;6;FRENTE Y CONTRAFRENTE;SI;SI;3;;;BELGRANO;13;-58.452341546177429;-34.56235255324578
ARCOS;2000;215;380000;1767.4;6;26;;SI;SI;3;SI;BALCON TERRAZA;BELGRANO;13;-58.453152959402473;-34.56141084198169
ARCOS;2100;103;120000;1165.0;4;0;FRENTE;SI;;;SI;BALCON;BELGRANO;13;-58.453959044853235;-34.560475904606733
ARCOS;2700;76;95000;1250.0;4;10;;;SI;2;SI;;BELGRANO;13;-58.458783956737044;-34.554908866632374
ARCOS;2800;75;95000;1266.7;0;3;;;SI;;;BALCON;BELGRANO;13;-58.459588412355878;-34.553973761910243
ARCOS;2800;230;220000;956.5;3;5;;;SI;;;BALCON TERRAZA;BELGRANO;13;-58.459588412355878;-34.553973761910243
ARCOS;3100;70;75000;1071.4;0;25;;;;;;;NUÑEZ;13;-58.462438135215329;-34.551437128248025
ARCOS;3400;73;90000;1232.9;3;25;FRENTE;;;;SI;BALCON;NUÑEZ;13;-58.464146455280932;-34.549110391061966
ARENAL, CONCEPCION;2400;83;93500;1126.5;3;0;FRENTE;;;2;SI;BALCON;PALERMO;14;-58.436919675505933;-34.574127608583154
ARENAL, CONCEPCION;3400;88;145000;1647.7;3;8;FRENTE;;;;;BALCON;COLEGIALES;13;-58.445333857422391;-34.581445274442522
ARENAL, CONCEPCION;3400;92;145000;1576.1;3;0;FRENTE;SI;SI;2;SI;BALCON TERRAZA;COLEGIALES;13;-58.445333857422391;-34.581445274442522
ARENALES;910;94;139000;1478.7;0;0;;;;2;;;RETIRO;1;-58.380156522060339;-34.594247336248586
ARENALES;1131;28;47000;1678.6;1;35;;SI;;1;;;RETIRO;1;-58.383884225066325;-34.594527575266227
ARENALES;1400;72;98000;1361.1;0;0;CONTRAFRENTE;;;;;;RETIRO;1;-58.385838888652501;-34.594429587908309
ARENALES;1500;90;165000;1833.3;4;0;;;;2;;;RETIRO;1;-58.387310402850552;-34.59451033918748
ARENALES;1600;200;460000;2300.0;7;55;FRENTE Y CONTRAFRENTE;SI;SI;2;SI;BALCON;RECOLETA;2;-58.389113187617461;-34.594578715141331
ARENALES;1800;101;145000;1435.6;0;0;FRENTE;;;2;SI;BALCON TERRAZA;RECOLETA;2;-58.393182756072214;-34.594969132838997
ARENALES;1800;104;180000;1730.8;3;A ESTRENAR;;;SI;2;;BALCON TERRAZA;RECOLETA;2;-58.393182756072214;-34.594969132838997
ARENALES;1900;72;103000;1430.6;3;10;FRENTE;;;2;SI;BALCON;RECOLETA;2;-58.394519600086412;-34.594859358130293
ARENALES;2000;74;78000;1054.1;3;45;;;;1;SI;;RECOLETA;2;-58.395903756558759;-34.594740582681347
ARENALES;2300;76;98000;1289.5;0;0;;;;;;;RECOLETA;2;-58.39949979089792;-34.594272015204233
ARENALES;2300;63;160000;2539.7;4;A ESTRENAR;;;SI;1;;BALCON;RECOLETA;2;-58.39949979089792;-34.594272015204233
ARENALES;2300;140;145000;1035.7;3;0;;;;;;;RECOLETA;2;-58.39949979089792;-34.594272015204233
ARENALES;2300;45;97000;2155.6;2;A ESTRENAR;FRENTE;;SI;;;BALCON;RECOLETA;2;-58.39949979089792;-34.594272015204233
ARENALES;2300;79;98000;1240.5;3;0;FRENTE;;;;;BALCON;RECOLETA;2;-58.39949979089792;-34.594272015204233
ARENALES;2400;87;143000;1643.7;3;40;FRENTE;;;;SI;BALCON;RECOLETA;2;-58.400728935575195;-34.59386759093637
ARENALES;2400;125;149000;1192.0;0;0;;;;;;BALCON;RECOLETA;2;-58.400728935575195;-34.59386759093637
ARENALES;2500;62;93000;1500.0;3;70;;;;1;SI;;RECOLETA;2;-58.40188114535453;-34.593463864243802
ARENALES;2500;136;159000;1169.1;0;0;;SI;;;SI;BALCON TERRAZA;RECOLETA;2;-58.40188114535453;-34.593463864243802
ARENALES;2600;100;133000;1330.0;0;0;;;;2;;;RECOLETA;2;-58.403080156407029;-34.593043709882394
ARENALES;2700;58;87000;1500.0;3;0;;;;;SI;;RECOLETA;2;-58.404205293073638;-34.592649408701426
ARENALES;2700;48;80000;1666.7;3;0;FRENTE;;;1;SI;PATIO;RECOLETA;2;-58.404205293073638;-34.592649408701426
ARENALES;2700;114;180000;1578.9;4;0;FRENTE;;;;;;RECOLETA;2;-58.404205293073638;-34.592649408701426
ARENALES;2900;100;150000;1500.0;3;0;FRENTE;;;2;SI;BALCON;RECOLETA;2;-58.406238438224293;-34.591029315606043
ARENALES;3100;114;168000;1473.7;4;25;;SI;SI;2;SI;BALCON;RECOLETA;2;-58.408167508171303;-34.589468268672057
ARENALES;3100;115;155000;1347.8;3;0;;SI;SI;2;;;RECOLETA;2;-58.408167508171303;-34.589468268672057
ARENALES;3509;87;139000;1597.7;3;0;FRENTE;;SI;;;;PALERMO;14;-58.412291881582881;-34.586144573961704
ARENALES;3525;68;78000;1147.1;3;30;;;;1;;;PALERMO;14;-58.41242356275319;-34.586054195759573
ARENALES;3800;96;145000;1510.4;3;39;CONTRAFRENTE;;;;SI;;PALERMO;14;-58.415073263347267;-34.584661633611013
