CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
BLANCO ENCALADA;2900;57;68000;1193.0;3;30;CONTRAFRENTE;;;;SI;BALCON;BELGRANO;13;-58.462881472390571;-34.561298398947677
BLANCO ENCALADA;2905;75;77500;1033.3;3;38;;SI;;1;SI;BALCON;BELGRANO;13;-58.464937591280794;-34.562848693243168
BLANCO ENCALADA;2974;64;69900;1092.2;0;0;FRENTE;;;;;BALCON;BELGRANO;13;-58.46419153258659;-34.562072791627621
BLANCO ENCALADA;3000;63;70000;1111.1;3;0;FRENTE;;;;SI;;BELGRANO;13;-58.463845915596153;-34.561868504917115
BLANCO ENCALADA;3000;53;59000;1113.2;3;35;FRENTE;;;;;BALCON;BELGRANO;13;-58.463845915596153;-34.561868504917115
BLANCO ENCALADA;3400;54;58000;1074.1;3;0;FRENTE;;;;SI;BALCON;BELGRANO;13;-58.468029077580937;-34.564357556598765
BLANCO ENCALADA;4300;34;37500;1102.9;2;25;;;;1;SI;;VILLA URQUIZA;12;-58.478287910172114;-34.570867110009772
BLANCO ENCALADA;4400;74;79900;1079.7;3;A ESTRENAR;DOBLE FRENTE;;SI;1;;BALCON;VILLA URQUIZA;12;-58.479200449842587;-34.571424170448452
BLANCO ENCALADA;4400;34;47000;1382.4;1;A ESTRENAR;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.479200449842587;-34.571424170448452
BLANCO ENCALADA;4400;48;62000;1291.7;2;A ESTRENAR;;;SI;1;SI;BALCON;VILLA URQUIZA;12;-58.479200449842587;-34.571424170448452
BLANCO ENCALADA;4400;99;83000;838.4;2;0;FRENTE;;;2;;BALCON TERRAZA;VILLA URQUIZA;12;-58.479200449842587;-34.571424170448452
BLANCO ENCALADA;4436;50;69000;1380.0;2;0;CONTRAFRENTE;;SI;2;SI;BALCON;VILLA URQUIZA;12;-58.479544980295607;-34.571634503383841
BLANCO ENCALADA;4436;35;47000;1342.9;1;A ESTRENAR;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.479544980295607;-34.571634503383841
BLANCO ENCALADA;4475;75;81500;1086.7;3;A ESTRENAR;;;SI;;SI;BALCON;VILLA URQUIZA;12;-58.480094752570615;-34.571634021834576
BLANCO ENCALADA;4700;61;55000;901.6;3;25;CONTRAFRENTE;;;;SI;;VILLA URQUIZA;12;-58.482381925222668;-34.573347418717852
BLANCO ENCALADA;4700;57;65000;1140.4;3;30;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.482381925222668;-34.573347418717852
BLANCO ENCALADA;4800;70;90000;1285.7;3;9;CONTRAFRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.483466572684257;-34.573989048371232
BLANCO ENCALADA;5000;67;67000;1000.0;3;0;FRENTE;;;2;;;VILLA URQUIZA;12;-58.485287337461195;-34.575064215092397
BLANCO ENCALADA;5000;72;63900;887.5;3;A ESTRENAR;;;;;SI;;VILLA URQUIZA;12;-58.485287337461195;-34.575064215092397
BLANCO ENCALADA;5100;105;120000;1142.9;0;A ESTRENAR;;SI;SI;;SI;;VILLA URQUIZA;12;-58.486501815974769;-34.575782696059612
BLANCO ENCALADA;5200;68;91000;1338.2;0;A ESTRENAR;;;;;;;VILLA URQUIZA;12;-58.487499357616031;-34.576371592042946
BLANCO ENCALADA;5300;65;71000;1092.3;3;20;CONTRAFRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.489002652259416;-34.57725907173883
BLANCO ENCALADA;5300;76;89900;1182.9;3;30;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.489002652259416;-34.57725907173883
BLANCO ENCALADA;5500;50;59000;1180.0;3;55;FRENTE;;;;;;VILLA URQUIZA;12;-58.491150690918602;-34.578527018144023
BLANES, JUAN MANUEL;100;71;61500;866.2;4;0;;;;;;;BOCA;4;-58.359806795262664;-34.628630063275843
BLANES, JUAN MANUEL;100;57;45000;789.5;3;30;FRENTE;;;;;;BOCA;4;-58.359806795262664;-34.628630063275843
BLANES, JUAN MANUEL;400;31;25000;806.5;1;0;LATERAL;;;1;;;BOCA;4;-58.362208322602235;-34.631113473177756
BLANES, JUAN MANUEL;400;75;40000;533.3;3;15;CONTRAFRENTE;;;2;SI;;BOCA;4;-58.362208322602235;-34.631113473177756
BOCAYUVA, QUINTINO;1200;140;73000;521.4;4;0;FRENTE;;;1;SI;BALCON;BOEDO;5;-58.421674473968025;-34.626261988892672
BOEDO;100;61;56000;918.0;3;35;;;;1;SI;BALCON;ALMAGRO;5;-58.417697019684319;-34.61241125036846
BOEDO;100;62;52000;838.7;3;0;;;;;;BALCON;ALMAGRO;5;-58.417697019684319;-34.61241125036846
BOEDO;200;64;64900;1014.1;3;35;FRENTE;;;;SI;BALCON;ALMAGRO;5;-58.4170903654827;-34.613826268503402
BOEDO;300;48;48500;1010.4;3;35;;;;;SI;;ALMAGRO;5;-58.41685831468493;-34.615654662405639
BOEDO;400;43;47000;1093.0;3;25;FRENTE;;;;;BALCON;ALMAGRO;5;-58.416690593815929;-34.617316121771864
BOEDO;600;62;54900;885.5;3;70;FRENTE;;;;;BALCON;ALMAGRO;5;-58.416455185137401;-34.619793040178607
BOEDO;1700;52;55500;1067.3;3;30;FRENTE;;;;SI;BALCON;BOEDO;5;-58.415941599339767;-34.63404119362027
BOGADO;4500;16;25500;1593.8;1;0;CONTRAFRENTE;;;1;;;ALMAGRO;5;-58.427484984192496;-34.604969771266838
BOGADO;4500;90;94900;1054.4;4;0;FRENTE;SI;SI;;;BALCON;ALMAGRO;5;-58.427484984192496;-34.604969771266838
BOGOTA;2000;60;47000;783.3;3;25;CONTRAFRENTE;;;;SI;;FLORES;7;-58.457646300481642;-34.622902810315104
BOGOTA;2100;62;66500;1072.6;4;0;CONTRAFRENTE;;;;;PATIO;FLORES;7;-58.459684691500868;-34.623596468411705
BOGOTA;2200;98;64900;662.2;4;0;;;;;;TERRAZA;FLORES;7;-58.460715545030567;-34.623974917238165
BOGOTA;2200;44;46000;1045.5;3;0;FRENTE;;;;;BALCON;FLORES;7;-58.460715545030567;-34.623974917238165
BOGOTA;2200;93;69000;741.9;3;0;;;;;;;FLORES;7;-58.460715545030567;-34.623974917238165
BOGOTA;2300;61;51900;850.8;3;40;FRENTE;;;;SI;BALCON;FLORES;7;-58.461749981842772;-34.624352994334572
BOGOTA;2400;81;48900;603.7;3;50;;;;;SI;;FLORES;7;-58.462841398968663;-34.624745100600329
BOGOTA;3000;67;57500;858.2;3;0;CONTRAFRENTE;;;;SI;TERRAZA;FLORES;7;-58.47117063729452;-34.62730118849548
BOGOTA;3300;75;89000;1186.7;3;0;;SI;;;;BALCON TERRAZA;FLORESTA;10;-58.475065947853288;-34.628379049088309
BOLAÑOS;100;58;51000;879.3;3;35;FRENTE;;;;;BALCON;VELEZ SARSFIELD;10;-58.485000591865806;-34.634613167898948
BOLIVAR;1000;80;79000;987.5;4;0;;;;;;BALCON TERRAZA;SAN TELMO;1;-58.372775074892154;-34.61959144103038
BOLIVAR;1100;32;43000;1343.8;2;30;LATERAL;;;1;SI;;SAN TELMO;1;-58.372686599649114;-34.620719317632172
BOLIVAR;1400;62;50000;806.5;3;100;;;;;;;SAN TELMO;1;-58.372507642214302;-34.624288527135256
BOLIVAR;1400;88;78000;886.4;4;0;FRENTE;;;3;SI;BALCON;SAN TELMO;1;-58.372507642214302;-34.624288527135256
BOLIVAR;1400;67;68000;1014.9;3;15;;;;1;SI;PATIO;SAN TELMO;1;-58.372507642214302;-34.624288527135256
BOLIVAR;1800;67;84000;1253.7;0;A ESTRENAR;FRENTE;;;;;;BARRACAS;4;-58.371868330112918;-34.629234526239976
BOLIVAR;1800;67;88000;1313.4;0;A ESTRENAR;FRENTE;SI;SI;;;;BARRACAS;4;-58.371868330112918;-34.629234526239976
BOLIVAR;1800;67;90000;1343.3;0;A ESTRENAR;FRENTE;SI;SI;;;;BARRACAS;4;-58.371868330112918;-34.629234526239976
BOLIVAR;1800;67;92000;1373.1;0;A ESTRENAR;FRENTE;SI;SI;;;;BARRACAS;4;-58.371868330112918;-34.629234526239976
BOLIVAR;1800;104;153000;1471.2;0;A ESTRENAR;FRENTE;SI;SI;;;;BARRACAS;4;-58.371868330112918;-34.629234526239976
BOLIVIA;300;62;46000;741.9;0;0;;;;;;;FLORES;7;-58.466175276837596;-34.627766015805307
BOLIVIA;400;80;56000;700.0;4;0;FRENTE;;;;;;FLORES;7;-58.466443669516082;-34.627176066811998
BOLIVIA;1500;65;43000;661.5;3;25;FRENTE;;;;SI;BALCON;VILLA GRAL. MITRE;11;-58.472957281810935;-34.61501671150436
BOLIVIA;3100;54;62000;1148.1;3;0;FRENTE;;;;SI;BALCON;VILLA DEL PARQUE;11;-58.487100759290357;-34.598767240495327
BOLIVIA;3156;60;62000;1033.3;3;30;FRENTE;;;;SI;BALCON;VILLA DEL PARQUE;11;-58.487384223239708;-34.598351970520483
BOLIVIA;4500;63;58448;927.7;3;A ESTRENAR;CONTRAFRENTE;;;;SI;BALCON;VILLA PUEYRREDON;12;-58.497508492807491;-34.585816449016747
BONIFACIO, JOSE;100;64;69800;1090.6;3;0;FRENTE;;;;;;CABALLITO;6;-58.428374625900567;-34.626065740077365
BONIFACIO, JOSE;500;64;72800;1137.5;3;0;;;;;;;CABALLITO;6;-58.434042752437172;-34.626892673880732
BONIFACIO, JOSE;1600;62;100000;1612.9;3;A ESTRENAR;FRENTE;;;;SI;BALCON;CABALLITO;6;-58.449855705109904;-34.629269878004827
BONIFACIO, JOSE;2800;80;67000;837.5;3;25;FRENTE;;;;SI;BALCON;FLORES;7;-58.466590812415077;-34.634174083213537
BONIFACIO, JOSE;2900;60;48500;808.3;4;0;;;;;;;FLORES;7;-58.467894577663749;-34.634581282421472
BONIFACIO, JOSE;4200;46;34000;739.1;3;0;FRENTE;;;;;;PARQUE AVELLANEDA;9;-58.484947524200877;-34.6412819803137
BONORINO, ESTEBAN, Cnel.;100;45;48000;1066.7;0;0;;SI;;;;;FLORES;7;-58.459166727809531;-34.629103274647406
BONORINO, ESTEBAN, Cnel.;100;80;67000;837.5;3;45;CONTRAFRENTE;;;;SI;BALCON;FLORES;7;-58.459166727809531;-34.629103274647406
BONORINO, ESTEBAN, Cnel.;100;47;67000;1425.5;1;A ESTRENAR;FRENTE;SI;;2;SI;PATIO;FLORES;7;-58.459166727809531;-34.629103274647406
BONORINO, ESTEBAN, Cnel.;600;70;69500;992.9;0;0;;;;1;SI;;FLORES;7;-58.456624980796157;-34.634517846138792
BONPLAND;1500;63;44000;698.4;3;0;FRENTE;;;;;BALCON;PALERMO;14;-58.439316230341277;-34.584875946700826
BONPLAND;1629;73;89000;1219.2;4;0;CONTRAFRENTE;;;;SI;BALCON;PALERMO;14;-58.437854278801986;-34.583993278762797
BONPLAND;2200;75;88500;1180.0;0;0;CONTRAFRENTE;;SI;;;;PALERMO;14;-58.43310932742866;-34.579458702849657
BONPLAND;2200;68;86900;1277.9;2;20;;SI;SI;1;SI;BALCON TERRAZA;PALERMO;14;-58.43310932742866;-34.579458702849657
BONPLAND;2300;48;47000;979.2;3;0;;;;;;PATIO;PALERMO;14;-58.432101017662653;-34.578578536821865
BONPLAND;2300;66;79000;1197.0;3;20;;;;;SI;BALCON;PALERMO;14;-58.432101017662653;-34.578578536821865
BONPLAND;2400;77;79000;1026.0;3;0;;;;;SI;BALCON;PALERMO;14;-58.431117681751594;-34.577720209617418
BOQUERON;7000;64;45000;703.1;3;0;FRENTE;;;;;;LINIERS;9;-58.524035950973406;-34.646440151851692
BORGES, JORGE LUIS;2200;72;75000;1041.7;3;0;;;;;SI;;PALERMO;14;-58.42437466006276;-34.584596085834484
BORGES, JORGE LUIS;2200;50;69900;1398.0;3;0;FRENTE;;;1;;;PALERMO;14;-58.42437466006276;-34.584596085834484
BORGES, JORGE LUIS;2200;50;69900;1398.0;3;25;FRENTE;;;1;SI;BALCON TERRAZA;PALERMO;14;-58.42437466006276;-34.584596085834484
BORGES, JORGE LUIS;2300;85;80000;941.2;3;0;;;;;;;PALERMO;14;-58.423208900749245;-34.583655986250811
BORGES, JORGE LUIS;2400;79;92000;1164.6;3;0;FRENTE;;;;;BALCON;PALERMO;14;-58.422076726708404;-34.582742906484356
BORGES, JORGE LUIS;2400;20;32900;1645.0;1;25;;;;1;;;PALERMO;14;-58.422076726708404;-34.582742906484356
BORGES, JORGE LUIS;2400;102;108000;1058.8;0;0;;SI;;;;;PALERMO;14;-58.422076726708404;-34.582742906484356
BORGES, JORGE LUIS;2400;80;89000;1112.5;0;0;;;;;SI;;PALERMO;14;-58.422076726708404;-34.582742906484356
BOSCH, VENTURA;7000;56;55000;982.1;3;0;CONTRAFRENTE;;;;;BALCON;LINIERS;9;-58.524755584850759;-34.642935772215004
BOSCH, VENTURA;7000;63;45000;714.3;3;0;FRENTE;;;;;;LINIERS;9;-58.524755584850759;-34.642935772215004
BOULOGNE SUR MER;300;62;47000;758.1;4;0;;;;;;;BALVANERA;3;-58.407523340648353;-34.607841331427743
BOULOGNE SUR MER;400;60;59000;983.3;0;0;CONTRAFRENTE;;;;SI;;BALVANERA;3;-58.407154928695412;-34.606638249943089
BOULOGNE SUR MER;500;80;69900;873.8;3;35;FRENTE;;;;SI;BALCON;BALVANERA;3;-58.406782663466728;-34.605422341777683
BOULOGNE SUR MER;500;48;50500;1052.1;3;70;;;;;SI;;BALVANERA;3;-58.406782663466728;-34.605422341777683
BOULOGNE SUR MER;600;108;80500;745.4;0;0;;;;;;;BALVANERA;3;-58.406474446174641;-34.604410619725321
BOULOGNE SUR MER;800;37;39500;1067.6;2;40;FRENTE;;;;SI;;BALVANERA;3;-58.40576844845684;-34.601753785521218
BOULOGNE SUR MER;900;71;65900;928.2;3;0;FRENTE;;;2;;BALCON;BALVANERA;3;-58.405464999076187;-34.600803518853468
BOYACA;300;111;98000;882.9;0;30;FRENTE;SI;;;;BALCON;FLORES;7;-58.459041069541215;-34.623561985824267
BOYACA;400;76;91800;1207.9;0;A ESTRENAR;;;;2;SI;BALCON TERRAZA;FLORES;7;-58.459746047302929;-34.622544946027958
BOYACA;400;81;88000;1086.4;0;A ESTRENAR;;;;;SI;BALCON TERRAZA;FLORES;7;-58.459746047302929;-34.622544946027958
BOYACA;400;100;85000;850.0;0;0;;;;;;;FLORES;7;-58.459746047302929;-34.622544946027958
BOYACA;600;53;42000;792.5;3;30;;;;;;;FLORES;7;-58.461146972504572;-34.620508316432208
BOYACA;700;56;45000;803.6;3;0;FRENTE;;;;;;FLORES;7;-58.461805008822935;-34.619586541653923
BOYACA;1800;76;99000;1302.6;3;0;;;;;;;VILLA GRAL. MITRE;11;-58.469469780672213;-34.60943206039169
BOYACA;1900;115;120000;1043.5;4;0;;;;2;;BALCON TERRAZA;VILLA GRAL. MITRE;11;-58.470235237500901;-34.608428754185788
BRANDSEN;300;113;89000;787.6;4;0;FRENTE;SI;;2;SI;BALCON;BOCA;4;-58.357904091853698;-34.634049764830188
BRANDSEN;300;97;85000;876.3;0;0;;;;;;;BOCA;4;-58.357904091853698;-34.634049764830188
BRANDSEN;400;47;40000;851.1;3;0;FRENTE;;;;;BALCON TERRAZA;BOCA;4;-58.359278790956218;-34.634607449742283
BRANDSEN;500;74;67500;912.2;4;0;FRENTE;;SI;;SI;BALCON;BOCA;4;-58.360787988463947;-34.635220598527887
BRANDSEN;500;57;45000;789.5;3;0;CONTRAFRENTE;;SI;;;BALCON;BOCA;4;-58.360787988463947;-34.635220598527887
BRANDSEN;500;65;47000;723.1;3;25;FRENTE;;;;SI;BALCON;BOCA;4;-58.360787988463947;-34.635220598527887
BRANDSEN;600;76;42000;552.6;4;0;FRENTE;;;;;BALCON;BOCA;4;-58.362190994063887;-34.635794446234108
BRANDSEN;1300;72;60000;833.3;0;0;;;;;;TERRAZA;BARRACAS;4;-58.370605755104123;-34.637598331649386
BRASIL;300;90;130000;1444.4;3;65;FRENTE;;;;SI;BALCON;SAN TELMO;1;-58.368026266021516;-34.62506303076713
BRASIL;700;80;85000;1062.5;0;0;;;;;;;SAN TELMO;1;-58.374008318470189;-34.625425450211331
BRASIL;1600;47;38500;819.1;3;40;CONTRAFRENTE;;;;;PATIO;CONSTITUCION;1;-58.387084823786019;-34.628525159032002
BRASIL;2400;80;75000;937.5;3;0;FRENTE;;;2;;BALCON;PARQUE PATRICIOS;4;-58.396331779604296;-34.630242287999707
BRAUN MENENDEZ, EDUARDO, DR;100;53;48000;905.7;3;40;FRENTE;;;;SI;BALCON;BOCA;4;-58.36340670402835;-34.626847185306303
BRAUN MENENDEZ, EDUARDO, DR;100;58;53000;913.8;3;40;FRENTE;;;;SI;BALCON;BOCA;4;-58.36340670402835;-34.626847185306303
BRAUN MENENDEZ, EDUARDO, DR;400;68;63900;939.7;4;0;;;;;SI;;BOCA;4;-58.362072763691785;-34.627731083224297
BRAVARD;1100;55;71900;1307.3;3;0;;;SI;;;BALCON;VILLA CRESPO;15;-58.438001159496572;-34.604932378126563
BRAVO, MARIO;200;65;82000;1261.5;0;A ESTRENAR;;;SI;;;;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;200;59;57900;981.4;0;0;;;;;;;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;200;148;78000;527.0;4;0;FRENTE;;;;SI;PATIO;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;300;110;120000;1090.9;6;0;FRENTE;;;;SI;BALCON;ALMAGRO;5;-58.417443291400623;-34.606913736948954
BRAVO, MARIO;300;70;77000;1100.0;3;0;CONTRAFRENTE;SI;SI;2;;BALCON;ALMAGRO;5;-58.417443291400623;-34.606913736948954
BRAVO, MARIO;400;46;48000;1043.5;3;30;;;;;SI;;ALMAGRO;5;-58.417219700622397;-34.605507514693308
BRAVO, MARIO;500;50;51000;1020.0;3;45;;;;;SI;;ALMAGRO;5;-58.416913084721287;-34.603607988717314
BRAVO, MARIO;570;50;47900;958.0;3;50;;;;1;;;ALMAGRO;5;-58.416754974029971;-34.602758114740119
BRAVO, MARIO;700;32;31500;984.4;2;60;;;;1;;;ALMAGRO;5;-58.416498475083202;-34.60143634414699
BRAVO, MARIO;1000;65;79500;1223.1;4;0;FRENTE;;;2;;BALCON TERRAZA;ALMAGRO;5;-58.416165690328917;-34.597884619427113
BRAVO, MARIO;1000;68;76000;1117.6;3;A ESTRENAR;;;;2;SI;BALCON;ALMAGRO;5;-58.416165690328917;-34.597884619427113
BRAVO, MARIO;1275;30;33000;1100.0;1;45;FRENTE;;;1;;PATIO;RECOLETA;2;-58.414681853254542;-34.59514539585178
BRIN, Ministro;500;108;90000;833.3;0;0;;;;;;;BOCA;4;-58.361617185898616;-34.628472907934132
BRIN, Ministro;500;72;60000;833.3;4;0;;;;;SI;;BOCA;4;-58.361617185898616;-34.628472907934132
BROWN, ALTE.;285;59;43500;737.3;3;10;LATERAL;;SI;1;SI;;BOCA;4;-58.365814860911797;-34.628912939241211
BROWN, ALTE.;700;72;58000;805.6;4;0;FRENTE;;;;;BALCON;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;700;56;29900;533.9;3;0;CONTRAFRENTE;;;;;;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;700;40;24500;612.5;2;55;FRENTE;;;2;;;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;700;97;60000;618.6;4;0;FRENTE;;;;;BALCON;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;700;36;32000;888.9;2;35;LATERAL;;;1;;;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;700;64;58000;906.3;3;0;;;;;SI;;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;800;75;60000;800.0;0;0;FRENTE;;;;;BALCON;BOCA;4;-58.360873002841046;-34.631849604336189
BROWN, ALTE.;800;70;60000;857.1;3;18;FRENTE;;;2;SI;BALCON;BOCA;4;-58.360873002841046;-34.631849604336189
BROWN, ALTE.;900;102;46000;451.0;3;45;FRENTE;;;;;;BOCA;4;-58.360190905818968;-34.632785891178578
BROWN, ALTE.;900;74;55000;743.2;4;10;FRENTE;;SI;;;BALCON;BOCA;4;-58.360190905818968;-34.632785891178578
BROWN, ALTE.;1000;116;42000;362.1;5;0;CONTRAFRENTE;;;;;PATIO;BOCA;4;-58.359716155223936;-34.633593797797765
BUCARELLI;1100;78;64000;820.5;0;A ESTRENAR;;;;;;;PARQUE CHAS;15;-58.477007447847519;-34.588832319595156
BUCARELLI;1400;61;60000;983.6;3;50;FRENTE;;;;SI;BALCON;PARQUE CHAS;15;-58.479608950341678;-34.586015973596112
BUCARELLI;1800;59;68000;1152.5;3;30;CONTRAFRENTE;;;;;BALCON;PARQUE CHAS;15;-58.483260346323618;-34.581621642524645
BUCARELLI;2100;115;120000;1043.5;3;30;CONTRAFRENTE;;;2;;;VILLA URQUIZA;12;-58.485940014708476;-34.578479744861461
BUCARELLI;2100;89;115000;1292.1;3;32;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.485940014708476;-34.578479744861461
BUCARELLI;2200;100;95000;950.0;4;0;;;;2;;BALCON;VILLA URQUIZA;12;-58.487033267422497;-34.577197923339895
BUCARELLI;2300;80;92000;1150.0;3;30;CONTRAFRENTE;;;2;SI;BALCON;VILLA URQUIZA;12;-58.487735538128057;-34.576374481440759
BUCARELLI;2350;125;152000;1216.0;5;20;FRENTE;;SI;3;SI;BALCON;VILLA URQUIZA;12;-58.488104227219942;-34.575942136970447
BUCARELLI;3300;50;55000;1100.0;3;25;;;;;SI;BALCON;VILLA URQUIZA;12;-58.495137862293113;-34.568001090510776
BUFANO, ALFREDO R.;1300;64;49800;778.1;3;50;FRENTE;;;;;PATIO;VILLA GRAL. MITRE;11;-58.467844476399854;-34.617169202546329
BUFANO, ALFREDO R.;1300;60;53900;898.3;3;50;FRENTE;;;;;;VILLA GRAL. MITRE;11;-58.467844476399854;-34.617169202546329
BULNES;30;36;44000;1222.2;1;A ESTRENAR;FRENTE;;;;;;ALMAGRO;5;-58.418447026343046;-34.610035435080931
BULNES;600;70;72900;1041.4;0;0;;;;;;;ALMAGRO;5;-58.418188270589688;-34.605283086070308
BULNES;700;36;44000;1222.2;2;15;CONTRAFRENTE;;;;;BALCON TERRAZA;ALMAGRO;5;-58.418051348493918;-34.604541387786107
BULNES;700;55;56000;1018.2;3;25;FRENTE;;;;SI;BALCON;ALMAGRO;5;-58.418051348493918;-34.604541387786107
BULNES;700;79;74900;948.1;3;30;FRENTE;;;;SI;BALCON;ALMAGRO;5;-58.418051348493918;-34.604541387786107
BULNES;800;42;45000;1071.4;2;65;;;;;SI;;ALMAGRO;5;-58.417868584763205;-34.603480134794587
BULNES;900;65;69900;1075.4;3;40;CONTRAFRENTE;;;;;BALCON;ALMAGRO;5;-58.417739569074854;-34.602198145664687
BULNES;1200;51;66000;1294.1;3;0;CONTRAFRENTE;;;;;;ALMAGRO;5;-58.417347303634003;-34.598904102993011
BULNES;1300;70;85000;1214.3;3;0;FRENTE;;;2;SI;BALCON;PALERMO;14;-58.417095539216632;-34.59782098703613
BULNES;1300;73;93800;1284.9;0;0;CONTRAFRENTE;;;2;;;PALERMO;14;-58.417095539216632;-34.59782098703613
BULNES;1856;79;95000;1202.5;3;55;FRENTE;SI;;1;SI;BALCON TERRAZA;PALERMO;14;-58.413263951642996;-34.590056028140978
BULNES;1900;63;83000;1317.5;2;30;;;;1;SI;;PALERMO;14;-58.413756407787602;-34.590560003388084
BULNES;2500;32;59800;1868.8;1;A ESTRENAR;;SI;;1;;BALCON;PALERMO;14;-58.407180191097041;-34.583131247013121
BULNES;2600;57;92000;1614.0;3;37;CONTRAFRENTE;;;;;BALCON;PALERMO;14;-58.406801730888226;-34.581989005327131
BURELA;2100;90;100000;1111.1;5;0;FRENTE;;SI;2;SI;BALCON;VILLA URQUIZA;12;-58.489709487909948;-34.580615186086554
BURELA;2100;55;79500;1445.5;3;0;FRENTE;;SI;;;BALCON;VILLA URQUIZA;12;-58.489709487909948;-34.580615186086554
BURELA;2200;67;79000;1179.1;3;A ESTRENAR;;;SI;2;SI;;VILLA URQUIZA;12;-58.490709105470202;-34.579332943839624
BURELA;2200;70;84500;1207.1;3;A ESTRENAR;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.490709105470202;-34.579332943839624
CAAGUAZU;6300;92;68000;739.1;3;0;;;;;;;LINIERS;9;-58.516529210699893;-34.645295977961219
CABELLO;3300;98;186000;1898.0;5;0;;;;2;;;PALERMO;14;-58.406604211060795;-34.58187602241879
CABELLO;3363;52;89000;1711.5;2;0;;SI;;1;SI;;PALERMO;14;-58.408110269279142;-34.5816917953724
CABELLO;3600;48;80000;1666.7;1;A ESTRENAR;;;;1;SI;BALCON TERRAZA;PALERMO;14;-58.409763916144612;-34.580875416227791
CABELLO;3600;76;128000;1684.2;3;50;CONTRAFRENTE;;;;SI;BALCON;PALERMO;14;-58.409763916144612;-34.580875416227791
CABELLO;3900;52;77500;1490.4;3;30;;;;1;SI;;PALERMO;14;-58.413028969011826;-34.57986786508107
CABELLO;3900;179;380000;2122.9;5;0;FRENTE;;SI;2;SI;BALCON;PALERMO;14;-58.413028969011826;-34.57986786508107
CABELLO;3950;165;420000;2545.5;3;1;;;SI;2;;BALCON;PALERMO;14;-58.414638335827057;-34.579364646654959
CABEZON, JOSE LEON;2300;57;57000;1000.0;3;35;FRENTE;;;;SI;BALCON;VILLA PUEYRREDON;12;-58.498297540822087;-34.578819115855225
CABEZON, JOSE LEON;2800;70;76000;1085.7;3;A ESTRENAR;FRENTE;;SI;;;BALCON;VILLA PUEYRREDON;12;-58.503967119028985;-34.582327928701012
CABEZON, JOSE LEON;3000;58;52000;896.6;3;0;CONTRAFRENTE;;;;SI;;VILLA PUEYRREDON;12;-58.50638996460512;-34.583830686021948
CABEZON, JOSE LEON;3300;79;65000;822.8;3;0;CONTRAFRENTE;;;;SI;PATIO;VILLA PUEYRREDON;12;-58.510379896578492;-34.58629192163194
CABILDO;100;78;98000;1256.4;0;0;FRENTE;;;;SI;BALCON;PALERMO;14;-58.437094642506459;-34.5741830835521
CABILDO;100;90;98000;1088.9;3;35;;;;2;SI;BALCON;PALERMO;14;-58.437094642506459;-34.5741830835521
CABILDO;100;47;75000;1595.7;3;30;CONTRAFRENTE;;;;SI;BALCON;PALERMO;14;-58.437094642506459;-34.5741830835521
CABILDO;100;91;120000;1318.7;3;42;FRENTE;;;;SI;BALCON;PALERMO;14;-58.437094642506459;-34.5741830835521
CABILDO;100;125;190000;1520.0;4;0;;;SI;2;SI;BALCON TERRAZA;PALERMO;14;-58.437094642506459;-34.5741830835521
CABILDO;400;40;53000;1325.0;2;50;CONTRAFRENTE;;;1;;;PALERMO;14;-58.440808058303226;-34.572233690488609
CABILDO;400;112;120000;1071.4;3;0;;SI;SI;;SI;;PALERMO;14;-58.440808058303226;-34.572233690488609
CABILDO;600;60;60000;1000.0;3;25;CONTRAFRENTE;;;;SI;BALCON;COLEGIALES;13;-58.44303221615661;-34.571035421543129
CABILDO;600;59;65000;1101.7;3;25;CONTRAFRENTE;;;;SI;BALCON;COLEGIALES;13;-58.44303221615661;-34.571035421543129
CABILDO;600;45;60000;1333.3;3;35;CONTRAFRENTE;;;;SI;BALCON;COLEGIALES;13;-58.44303221615661;-34.571035421543129
CABILDO;700;75;85000;1133.3;3;80;;;;1;;BALCON TERRAZA;COLEGIALES;13;-58.443906258268001;-34.570590266328175
